datetime	Fe	lakeID
2012-06-13	0.019	EL
2012-06-15	0.03	EL
2012-06-18	0.035	EL
2012-06-25	0.051	EL
2012-07-03	0.049	EL
2012-07-09	0.05	EL
2012-07-16	0.041	EL
2012-06-13	0.022	WL
2012-06-15	0.033	WL
2012-06-18	0.032	WL
2012-06-25	0.033	WL
2012-07-03	0.037	WL
2012-07-09	0.027	WL
2012-07-16	0.039	WL
2013-05-15	0.0638	EL
2013-05-29	0.0689	EL
2013-06-05	0.0979	EL
2013-06-12	0.1194	EL
2013-06-19	0.193	EL
2014-06-11	0.143390229	EL
2014-06-18	0.124479904	EL
2013-05-15	0.0392	WL
2013-05-29	0.0285	WL
2013-06-05	0.0556	WL
2013-06-12	0.0506	WL
2013-06-19	0.1639	WL
2014-06-11	0.052617123	WL
2014-06-18	0.04478924	WL
