datetime	chla	lakeID
2011-06-08	4.4	EL
2011-06-15	5.5	EL
2011-06-22	3.885	EL
2011-06-29	7.07	EL
2011-07-13	4.96	EL
2011-07-20	6.48	EL
2011-07-27	8.32	EL
2011-08-10	5.58	EL
2011-08-17	4.08	EL
2011-09-21	6.33	EL
2012-05-16	3.715	EL
2012-05-23	3.26	EL
2012-05-30	10.11	EL
2012-06-06	8.96	EL
2012-06-13	6.545	EL
2012-06-20	15.29	EL
2012-06-27	10.4	EL
2012-07-04	6.405	EL
2012-07-11	8.19	EL
2012-07-18	5.855	EL
2012-07-25	7.025	EL
2012-08-01	4.515	EL
2012-08-08	7.205	EL
2012-08-15	2.285	EL
2012-09-16	5.535	EL
2011-06-08	4.73	WL
2011-06-15	3.915	WL
2011-06-22	6.735	WL
2011-06-29	4.17	WL
2011-07-13	5.01	WL
2011-07-20	4.885	WL
2011-07-27	7.205	WL
2011-08-10	5.225	WL
2011-08-17	3.905	WL
2011-09-21	6.745	WL
2012-05-16	2.64	WL
2012-05-23	5.255	WL
2012-05-30	12.38	WL
2012-06-06	8.835	WL
2012-06-13	4.22	WL
2012-06-20	7.1	WL
2012-06-27	7.77	WL
2012-07-04	9.175	WL
2012-07-11	8.215	WL
2012-07-18	2.42	WL
2012-07-25	5.11	WL
2012-08-01	5.53	WL
2012-08-08	7.81	WL
2012-08-15	10.34	WL
2012-09-16	6.175	WL
2013-05-15	11.335	EL
2013-05-22	9.425	EL
2013-05-29	11.78	EL
2013-06-05	7.59	EL
2013-06-12	4.78	EL
2013-06-19	5.145	EL
2013-06-26	8.735	EL
2013-07-03	7.175	EL
2013-07-10	37.31	EL
2013-07-17	11.935	EL
2013-07-25	11.365	EL
2013-07-31	8.54	EL
2013-08-06	5.36	EL
2013-08-14	9.165	EL
2013-09-14	6.535	EL
2014-05-14	8.801969186	EL
2014-05-21	5.45110203	EL
2014-05-28	4.211522106	EL
2014-06-11	2.8725826915	EL
2014-06-18	2.3439673425	EL
2014-06-25	10.69068185	EL
2014-07-02	3.1571121615	EL
2014-07-09	5.619361136	EL
2014-07-16	8.374947331	EL
2014-07-23	6.713199212	EL
2014-07-30	8.78241632	EL
2014-08-06	2.6918333775	EL
2014-08-12	4.003491215	EL
2014-08-20	3.5320761	EL
2014-09-26	4.332233784	EL
2013-05-15	12.345	WL
2013-05-22	11.46	WL
2013-05-29	6.315	WL
2013-06-05	4.225	WL
2013-06-12	3.1	WL
2013-06-19	4.845	WL
2013-06-26	2.03	WL
2013-07-03	3.58	WL
2013-07-10	8.06	WL
2013-07-17	6.66	WL
2013-07-25	9.665	WL
2013-07-31	6.06	WL
2013-08-06	5.81	WL
2013-08-14	6.205	WL
2013-09-14	4.695	WL
2014-05-14	9.729531667	WL
2014-05-21	11.347731092	WL
2014-05-28	2.2450073365	WL
2014-06-11	1.99180114	WL
2014-06-18	1.3644837125	WL
2014-06-25	1.377782537	WL
2014-07-02	1.636374359	WL
2014-07-09	1.971906525	WL
2014-07-16	2.013288302	WL
2014-07-23	1.297151199	WL
2014-07-30	2.32147682971429	WL
2014-08-06	3.482436667	WL
2014-08-12	3.5404509125	WL
2014-08-20	3.7392885065	WL
2014-09-26	5.4418764135	WL
