datetime	SRP	lakeID
2011-05-25	5.11	EL
2011-06-08	4.47	EL
2011-06-15	5.42	EL
2011-06-22	5.27	EL
2011-06-29	5.9	EL
2011-07-06	5.27	EL
2011-07-13	5.9	EL
2011-07-20	5.27	EL
2011-07-27	5.27	EL
2011-08-03	3.36	EL
2011-08-10	3.84	EL
2011-08-17	7.17	EL
2011-09-21	6.85	EL
2012-05-16	6.68	EL
2012-05-23	4.36	EL
2012-05-30	6.22	EL
2012-06-06	8.75	EL
2012-07-11	4.51	EL
2012-07-18	3.73	EL
2012-07-25	2.65	EL
2012-08-01	3.73	EL
2012-08-08	2.96	EL
2012-08-15	6.06	EL
2012-09-16	5.44	EL
2011-05-25	6.38	WL
2011-06-08	4.63	WL
2011-06-15	3.36	WL
2011-06-22	4	WL
2011-06-29	5.27	WL
2011-07-06	5.9	WL
2011-07-13	7.01	WL
2011-07-20	7.01	WL
2011-07-27	4.15	WL
2011-08-03	3.52	WL
2011-08-10	5.11	WL
2011-08-17	5.58	WL
2011-09-21	6.22	WL
2012-05-16	6.22	WL
2012-05-23	4.52	WL
2012-05-30	22.31	WL
2012-06-06	1.02	WL
2012-07-11	3.27	WL
2012-07-18	3.27	WL
2012-07-25	2.03	WL
2012-08-01	2.18	WL
2012-08-08	2.18	WL
2012-08-15	3.27	WL
2012-09-16	6.99	WL
2013-05-15	7.31	EL
2013-05-22	5.07	EL
2013-05-29	6.57	EL
2013-06-05	4.47	EL
2013-06-12	14.44	EL
2013-06-19	1.87	EL
2013-06-26	5.79	EL
2013-07-03	5.79	EL
2013-07-10	7.48	EL
2013-07-17	3.62	EL
2013-07-25	2.69	EL
2013-07-31	7.33	EL
2013-08-06	13.2	EL
2013-08-14	3.62	EL
2013-09-14	5.63	EL
2014-05-14	0.30748	EL
2014-05-21	13.2298	EL
2014-06-11	13.437	EL
2014-06-18	9.61014	EL
2014-07-02	3.72794	EL
2014-07-16	4.66896	EL
2014-07-30	4.5778	EL
2014-08-12	4.63177	EL
2014-08-20	10.11836	EL
2013-05-15	5.22	WL
2013-05-22	4.62	WL
2013-05-29	4.02	WL
2013-06-05	3.42	WL
2013-06-12	9.37	WL
2013-06-19	6.25	WL
2013-06-26	6.41	WL
2013-07-03	4.39	WL
2013-07-10	6.24	WL
2013-07-17	3.77	WL
2013-07-25	0.68	WL
2013-07-31	7.66	WL
2013-08-06	4.39	WL
2013-08-14	2.38	WL
2013-09-14	7.19	WL
2014-05-14	13.34836	WL
2014-05-21	17.0523	WL
2014-06-11	7.5888	WL
2014-06-18	12.74048	WL
2014-07-02	1.07	WL
2014-07-16	2.37142	WL
2014-07-30	0.77094	WL
2014-08-12	2.01228	WL
2014-08-20	7.45292	WL
