datetime	TP	lakeID
2011-06-15	2.2	EL
2011-06-29	11.46	EL
2011-07-06	11.92	EL
2011-07-13	13.77	EL
2011-07-20	14.08	EL
2011-07-27	16.55	EL
2011-08-03	9.45	EL
2011-08-10	26.89	EL
2011-08-17	11.61	EL
2011-09-21	13	EL
2012-05-16	12.87	EL
2012-05-23	13.62	EL
2012-05-30	17.2	EL
2012-06-06	19.32	EL
2012-06-13	24.64	EL
2012-06-20	21.1	EL
2012-06-27	18.24	EL
2012-07-11	22.33	EL
2012-07-18	21.16	EL
2012-07-25	20.16	EL
2012-08-01	19.32	EL
2012-08-08	19.49	EL
2012-08-15	18.99	EL
2012-09-16	20.16	EL
2011-06-15	8.99	WL
2011-06-29	12.85	WL
2011-07-06	10.69	WL
2011-07-13	13.93	WL
2011-07-20	13.77	WL
2011-07-27	14.24	WL
2011-08-03	12.54	WL
2011-08-10	13.16	WL
2011-08-17	11.46	WL
2011-09-21	12.23	WL
2012-05-16	9.54	WL
2012-05-23	16.58	WL
2012-05-30	18.93	WL
2012-06-06	18.36	WL
2012-06-13	22.22	WL
2012-06-20	32.69	WL
2012-06-27	24.35	WL
2012-07-11	20.66	WL
2012-07-18	19.99	WL
2012-07-25	19.82	WL
2012-08-01	21.16	WL
2012-08-08	19.66	WL
2012-08-15	20.83	WL
2012-09-16	33.86	WL
2013-05-15	26.87	EL
2013-05-22	19.42	EL
2013-05-29	15.39	EL
2013-06-05	15.2	EL
2013-06-12	14.92	EL
2013-06-19	17.5	EL
2013-06-26	14.77	EL
2013-07-03	12.6	EL
2013-07-10	22.33	EL
2013-07-17	19.45	EL
2013-07-25	18.14	EL
2013-07-31	15.84	EL
2013-08-06	23.01	EL
2013-08-14	17.23	EL
2013-09-14	18.44	EL
2014-05-14	15.41	EL
2014-05-21	19.09	EL
2014-05-28	13.6	EL
2014-06-04	9.97	EL
2014-06-18	11.48	EL
2014-06-25	10.19	EL
2014-07-02	8.38	EL
2014-07-09	15.09	EL
2014-07-30	11.24	EL
2014-08-06	9.89	EL
2014-08-12	18.94	EL
2013-05-15	22.99	WL
2013-05-22	20.04	WL
2013-05-29	12.6	WL
2013-06-05	15.03	WL
2013-06-12	16.74	WL
2013-06-19	18.11	WL
2013-06-26	10.36	WL
2013-07-03	7.65	WL
2013-07-10	15.38	WL
2013-07-17	14.76	WL
2013-07-25	19.45	WL
2013-07-31	15.22	WL
2013-08-06	16.77	WL
2013-08-14	14.64	WL
2013-09-14	14.34	WL
2014-05-14	12.78	WL
2014-05-21	13	WL
2014-05-28	8.61	WL
2014-06-04	6.58	WL
2014-06-18	8.16	WL
2014-06-25	14.1	WL
2014-07-02	6.31	WL
2014-07-09	6.73	WL
2014-07-30	20.42	WL
2014-08-06	12.43	WL
2014-08-12	14.34	WL
